25-08-06 14:51:15.788 - INFO: ----------------------------------------------------
25-08-06 14:51:15.789 - INFO: ==> Resuming Training with learning rate:0.0003
25-08-06 14:51:15.789 - INFO: ----------------------------------------------------
25-08-06 14:51:20.844 - INFO: 0001 00082 diff=0.003077, exp_diff=0.003050, Loss_Reg=0.003077, Lambda=0.066667, Loss_Rev=0.027530, Loss_All=0.030607, Time=0.0495
25-08-06 14:51:20.897 - INFO: 0001 00083 diff=0.010710, exp_diff=0.010417, Loss_Reg=0.010710, Lambda=0.066667, Loss_Rev=0.094623, Loss_All=0.105333, Time=0.0498
25-08-06 14:51:20.950 - INFO: 0001 00084 diff=0.020786, exp_diff=0.020685, Loss_Reg=0.020786, Lambda=0.066667, Loss_Rev=0.186463, Loss_All=0.207249, Time=0.0496
25-08-06 14:51:21.004 - INFO: 0001 00085 diff=0.012507, exp_diff=0.012342, Loss_Reg=0.012507, Lambda=0.066667, Loss_Rev=0.111570, Loss_All=0.124077, Time=0.0496
25-08-06 14:51:21.057 - INFO: 0001 00086 diff=0.043399, exp_diff=0.043082, Loss_Reg=0.043399, Lambda=0.066667, Loss_Rev=0.388677, Loss_All=0.432076, Time=0.0496
25-08-06 14:51:21.109 - INFO: 0001 00087 diff=0.016579, exp_diff=0.016461, Loss_Reg=0.016579, Lambda=0.066667, Loss_Rev=0.148499, Loss_All=0.165078, Time=0.0496
25-08-06 14:51:21.162 - INFO: 0001 00088 diff=0.029418, exp_diff=0.028944, Loss_Reg=0.029418, Lambda=0.066667, Loss_Rev=0.261906, Loss_All=0.291323, Time=0.0496
25-08-06 14:51:21.215 - INFO: 0001 00089 diff=0.031991, exp_diff=0.031877, Loss_Reg=0.031991, Lambda=0.066667, Loss_Rev=0.287232, Loss_All=0.319222, Time=0.0496
25-08-06 14:51:21.268 - INFO: 0001 00090 diff=0.041008, exp_diff=0.039771, Loss_Reg=0.041008, Lambda=0.066667, Loss_Rev=0.361596, Loss_All=0.402604, Time=0.0495
25-08-06 14:51:21.321 - INFO: 0001 00091 diff=0.018323, exp_diff=0.017757, Loss_Reg=0.018323, Lambda=0.066667, Loss_Rev=0.161492, Loss_All=0.179815, Time=0.0495
25-08-06 14:51:21.374 - INFO: 0001 00092 diff=0.026041, exp_diff=0.025580, Loss_Reg=0.026041, Lambda=0.066667, Loss_Rev=0.231587, Loss_All=0.257627, Time=0.0495
25-08-06 14:51:21.427 - INFO: 0001 00093 diff=0.004875, exp_diff=0.004829, Loss_Reg=0.004875, Lambda=0.066667, Loss_Rev=0.043596, Loss_All=0.048472, Time=0.0497
25-08-06 14:51:21.479 - INFO: 0001 00094 diff=0.044214, exp_diff=0.043748, Loss_Reg=0.044214, Lambda=0.066667, Loss_Rev=0.395114, Loss_All=0.439329, Time=0.0496
25-08-06 14:51:21.532 - INFO: 0001 00095 diff=0.014986, exp_diff=0.014582, Loss_Reg=0.014986, Lambda=0.066667, Loss_Rev=0.132434, Loss_All=0.147420, Time=0.0497
25-08-06 14:51:21.585 - INFO: 0001 00096 diff=0.022620, exp_diff=0.022434, Loss_Reg=0.022620, Lambda=0.066667, Loss_Rev=0.202460, Loss_All=0.225080, Time=0.0495
25-08-06 14:51:21.639 - INFO: 0001 00097 diff=0.015631, exp_diff=0.015485, Loss_Reg=0.015631, Lambda=0.066667, Loss_Rev=0.139801, Loss_All=0.155432, Time=0.0499
25-08-06 14:51:21.692 - INFO: 0001 00098 diff=0.044366, exp_diff=0.043982, Loss_Reg=0.044366, Lambda=0.066667, Loss_Rev=0.396981, Loss_All=0.441347, Time=0.0494
25-08-06 14:51:21.744 - INFO: 0001 00099 diff=0.023352, exp_diff=0.023086, Loss_Reg=0.023352, Lambda=0.066667, Loss_Rev=0.208566, Loss_All=0.231918, Time=0.0495
25-08-06 14:51:21.799 - INFO: 0001 00100 diff=0.011040, exp_diff=0.010702, Loss_Reg=0.011040, Lambda=0.066667, Loss_Rev=0.097319, Loss_All=0.108359, Time=0.0513
25-08-06 14:51:21.852 - INFO: 0001 00101 diff=0.015350, exp_diff=0.015088, Loss_Reg=0.015350, Lambda=0.066667, Loss_Rev=0.136567, Loss_All=0.151918, Time=0.0496
25-08-06 14:51:21.905 - INFO: 0001 00102 diff=0.005942, exp_diff=0.005844, Loss_Reg=0.005942, Lambda=0.066667, Loss_Rev=0.052889, Loss_All=0.058831, Time=0.0495
25-08-06 14:51:21.958 - INFO: 0001 00103 diff=0.029389, exp_diff=0.028718, Loss_Reg=0.029389, Lambda=0.066667, Loss_Rev=0.260452, Loss_All=0.289841, Time=0.0495
25-08-06 14:51:22.011 - INFO: 0001 00104 diff=0.015910, exp_diff=0.015750, Loss_Reg=0.015910, Lambda=0.066667, Loss_Rev=0.142228, Loss_All=0.158139, Time=0.0496
25-08-06 14:51:22.065 - INFO: 0001 00105 diff=0.014050, exp_diff=0.013875, Loss_Reg=0.014050, Lambda=0.066667, Loss_Rev=0.125398, Loss_All=0.139448, Time=0.0498
25-08-06 14:51:22.117 - INFO: 0001 00106 diff=0.008619, exp_diff=0.008503, Loss_Reg=0.008619, Lambda=0.066667, Loss_Rev=0.076875, Loss_All=0.085494, Time=0.0494
25-08-06 14:51:22.172 - INFO: 0001 00107 diff=0.038657, exp_diff=0.037695, Loss_Reg=0.038657, Lambda=0.066667, Loss_Rev=0.342117, Loss_All=0.380775, Time=0.0513
25-08-06 14:51:22.228 - INFO: 0001 00108 diff=0.013360, exp_diff=0.013266, Loss_Reg=0.013360, Lambda=0.066667, Loss_Rev=0.119678, Loss_All=0.133039, Time=0.0522
25-08-06 14:51:22.282 - INFO: 0001 00109 diff=0.031954, exp_diff=0.030929, Loss_Reg=0.031954, Lambda=0.066667, Loss_Rev=0.281402, Loss_All=0.313355, Time=0.0499
25-08-06 14:51:22.335 - INFO: 0001 00110 diff=0.027612, exp_diff=0.027149, Loss_Reg=0.027612, Lambda=0.066667, Loss_Rev=0.245715, Loss_All=0.273327, Time=0.0499
25-08-06 14:51:22.389 - INFO: 0001 00111 diff=0.005227, exp_diff=0.005187, Loss_Reg=0.005227, Lambda=0.066667, Loss_Rev=0.046799, Loss_All=0.052025, Time=0.0500
25-08-06 14:51:22.442 - INFO: 0001 00112 diff=0.013674, exp_diff=0.013320, Loss_Reg=0.013674, Lambda=0.066667, Loss_Rev=0.120933, Loss_All=0.134608, Time=0.0497
25-08-06 14:51:22.495 - INFO: 0001 00113 diff=0.013032, exp_diff=0.012786, Loss_Reg=0.013032, Lambda=0.066667, Loss_Rev=0.115803, Loss_All=0.128835, Time=0.0493
25-08-06 14:51:22.549 - INFO: 0001 00114 diff=0.013492, exp_diff=0.013117, Loss_Reg=0.013492, Lambda=0.066667, Loss_Rev=0.119166, Loss_All=0.132659, Time=0.0497
25-08-06 14:51:22.601 - INFO: 0001 00115 diff=0.004783, exp_diff=0.004709, Loss_Reg=0.004783, Lambda=0.066667, Loss_Rev=0.042602, Loss_All=0.047385, Time=0.0493
25-08-06 14:51:22.654 - INFO: 0001 00116 diff=0.012382, exp_diff=0.012284, Loss_Reg=0.012382, Lambda=0.066667, Loss_Rev=0.110844, Loss_All=0.123226, Time=0.0493
25-08-06 14:51:22.707 - INFO: 0001 00117 diff=0.004373, exp_diff=0.004347, Loss_Reg=0.004373, Lambda=0.066667, Loss_Rev=0.039197, Loss_All=0.043571, Time=0.0494
25-08-06 14:51:22.767 - INFO: 0001 00118 diff=0.104981, exp_diff=0.104839, Loss_Reg=0.104981, Lambda=0.066667, Loss_Rev=0.943970, Loss_All=1.048951, Time=0.0571
25-08-06 14:51:22.819 - INFO: 0001 00119 diff=0.012303, exp_diff=0.012161, Loss_Reg=0.012303, Lambda=0.066667, Loss_Rev=0.109871, Loss_All=0.122175, Time=0.0494
25-08-06 14:51:22.873 - INFO: 0001 00120 diff=0.031735, exp_diff=0.031582, Loss_Reg=0.031735, Lambda=0.066667, Loss_Rev=0.284694, Loss_All=0.316429, Time=0.0498
25-08-06 14:51:22.928 - INFO: 0001 00121 diff=0.031017, exp_diff=0.030799, Loss_Reg=0.031017, Lambda=0.066667, Loss_Rev=0.277841, Loss_All=0.308857, Time=0.0515
25-08-06 14:51:22.981 - INFO: 0001 00122 diff=0.016991, exp_diff=0.016704, Loss_Reg=0.016991, Lambda=0.066667, Loss_Rev=0.151190, Loss_All=0.168181, Time=0.0495
25-08-06 14:51:23.036 - INFO: 0001 00123 diff=0.034262, exp_diff=0.034209, Loss_Reg=0.034262, Lambda=0.066667, Loss_Rev=0.308037, Loss_All=0.342298, Time=0.0520
25-08-06 14:51:23.091 - INFO: 0001 00124 diff=0.016364, exp_diff=0.016078, Loss_Reg=0.016364, Lambda=0.066667, Loss_Rev=0.145557, Loss_All=0.161922, Time=0.0515
25-08-06 14:51:23.144 - INFO: 0001 00125 diff=0.078257, exp_diff=0.077912, Loss_Reg=0.078257, Lambda=0.066667, Loss_Rev=0.702231, Loss_All=0.780489, Time=0.0497
25-08-06 14:51:23.197 - INFO: 0001 00126 diff=0.025112, exp_diff=0.024576, Loss_Reg=0.025112, Lambda=0.066667, Loss_Rev=0.222777, Loss_All=0.247888, Time=0.0496
25-08-06 14:51:23.251 - INFO: 0001 00127 diff=0.014834, exp_diff=0.014521, Loss_Reg=0.014834, Lambda=0.066667, Loss_Rev=0.131621, Loss_All=0.146455, Time=0.0498
25-08-06 14:51:23.304 - INFO: 0001 00128 diff=0.013481, exp_diff=0.013462, Loss_Reg=0.013481, Lambda=0.066667, Loss_Rev=0.121214, Loss_All=0.134695, Time=0.0496
25-08-06 14:51:23.357 - INFO: 0001 00129 diff=0.019340, exp_diff=0.018770, Loss_Reg=0.019340, Lambda=0.066667, Loss_Rev=0.170622, Loss_All=0.189962, Time=0.0496
25-08-06 14:51:23.412 - INFO: 0001 00130 diff=0.012136, exp_diff=0.011742, Loss_Reg=0.012136, Lambda=0.066667, Loss_Rev=0.106845, Loss_All=0.118981, Time=0.0519
25-08-06 14:51:23.467 - INFO: 0001 00131 diff=0.008182, exp_diff=0.008152, Loss_Reg=0.008182, Lambda=0.066667, Loss_Rev=0.073455, Loss_All=0.081636, Time=0.0517
25-08-06 14:51:23.521 - INFO: 0001 00132 diff=0.016014, exp_diff=0.015554, Loss_Reg=0.016014, Lambda=0.066667, Loss_Rev=0.141350, Loss_All=0.157364, Time=0.0514
25-08-06 14:51:23.574 - INFO: 0001 00133 diff=0.034351, exp_diff=0.033465, Loss_Reg=0.034351, Lambda=0.066667, Loss_Rev=0.303818, Loss_All=0.338169, Time=0.0494
25-08-06 14:51:23.627 - INFO: 0001 00134 diff=0.042794, exp_diff=0.042189, Loss_Reg=0.042794, Lambda=0.066667, Loss_Rev=0.381492, Loss_All=0.424285, Time=0.0496
25-08-06 14:51:23.681 - INFO: 0001 00135 diff=0.039353, exp_diff=0.039247, Loss_Reg=0.039353, Lambda=0.066667, Loss_Rev=0.353538, Loss_All=0.392892, Time=0.0499
25-08-06 14:51:23.734 - INFO: 0001 00136 diff=0.003397, exp_diff=0.003327, Loss_Reg=0.003397, Lambda=0.066667, Loss_Rev=0.030152, Loss_All=0.033549, Time=0.0496
