25-08-05 14:34:48.027 - INFO: ----------------------------------------------------
25-08-05 14:34:48.027 - INFO: ==> Resuming Training with learning rate:0.0003
25-08-05 14:34:48.027 - INFO: ----------------------------------------------------
25-08-05 14:39:32.318 - INFO: 0001 00049 diff=0.032314, exp_diff=0.031872, Loss_Reg=0.032314, Lambda=0.06666666666666667, Loss_Rev=0.288163, Loss_All=0.320477, Time=5.4465
25-08-05 14:39:39.916 - INFO: 0001 00050 diff=0.040605, exp_diff=0.040120, Loss_Reg=0.040605, Lambda=0.06666666666666667, Loss_Rev=0.362516, Loss_All=0.403121, Time=7.5975
25-08-05 14:39:45.372 - INFO: 0001 00051 diff=0.033643, exp_diff=0.032742, Loss_Reg=0.033643, Lambda=0.06666666666666667, Loss_Rev=0.297351, Loss_All=0.330994, Time=5.4548
25-08-05 14:39:50.843 - INFO: 0001 00052 diff=0.028164, exp_diff=0.027646, Loss_Reg=0.028164, Lambda=0.06666666666666667, Loss_Rev=0.250349, Loss_All=0.278513, Time=5.4703
25-08-05 14:39:56.297 - INFO: 0001 00053 diff=0.030135, exp_diff=0.029350, Loss_Reg=0.030135, Lambda=0.06666666666666667, Loss_Rev=0.266479, Loss_All=0.296615, Time=5.4534
25-08-05 14:40:01.740 - INFO: 0001 00054 diff=0.020498, exp_diff=0.020174, Loss_Reg=0.020498, Lambda=0.06666666666666667, Loss_Rev=0.182524, Loss_All=0.203021, Time=5.4421
25-08-05 14:40:07.197 - INFO: 0001 00055 diff=0.018517, exp_diff=0.018116, Loss_Reg=0.018517, Lambda=0.06666666666666667, Loss_Rev=0.164232, Loss_All=0.182749, Time=5.4562
25-08-05 14:40:12.659 - INFO: 0001 00056 diff=0.039994, exp_diff=0.039467, Loss_Reg=0.039994, Lambda=0.06666666666666667, Loss_Rev=0.356763, Loss_All=0.396757, Time=5.4611
25-08-05 14:40:18.105 - INFO: 0001 00057 diff=0.038826, exp_diff=0.038161, Loss_Reg=0.038826, Lambda=0.06666666666666667, Loss_Rev=0.345411, Loss_All=0.384236, Time=5.4452
25-08-05 14:40:23.553 - INFO: 0001 00058 diff=0.027492, exp_diff=0.026876, Loss_Reg=0.027492, Lambda=0.06666666666666667, Loss_Rev=0.243706, Loss_All=0.271198, Time=5.4473
